domain,software,users,signup,uptime_alltime
agency.spaceagency.space,mastodon,2,False,99.95
agenda.arree.bzh,gancio,10,True,99.49
agenda.cm-en-transition.fr,mobilizon,4,True,98.15
agenda.collectifs.net,mobilizon,178,True,96.18
agenda.fedi.cr,mobilizon,7,True,99.94
agenda.giuristidemocratici.it,gancio,2,False,100.0
agenda.lanbroa.eus,gancio,22,True,99.88
agenda.radwende-rheinsieg.de,gancio,2,True,100.0
agenda.reteappenninica.it,gancio,23,True,99.73
agenda.rouen-luttes.org,gancio,5,True,99.9
agenda.shadok-strasbourg.eu,mobilizon,2,False,99.88
agenda.subterrania.es,gancio,10,False,99.2
agenda.zeorri.eus,gancio,1,True,100.0
agendo.ch,mastodon,5,True,100.0
agepon.vivaldi.net,wordpress,1,False,99.95
aggloculture.net,wordpress,6,False,100.0
aggregata.de,ghost,1,False,100.0
aggregatet.org,lemmy,190,True,96.25
agilealliance.social,mastodon,163,True,
agilodon.social,mastodon,5,True,99.94
agora-thinktanks.social,mastodon,6,False,99.96
agora.echelon.pl,mastodon,2,False,
agora.ilot.io,mastodon,9,False,
agora.jkvirt.de,mastodon,2,False,
agora.l0g.eu,pleroma,2,False,100.0
aheradin.com,wordpress,2,False,99.91
ai.channel.org,mastodon,2,False,
ai.forfun.su,mastodon,144,True,
ai.isbrill.com,wordpress,1,True,99.85
ai.ispants.com,wordpress,1,True,99.67
ai.wiki,mastodon,26310,True,
aidatachronicles.com,wordpress,1,False,100.0
aidoru.cafe,mastodon,3,False,
aika.social,mastodon,2,False,
aikido.social,sharkey,9,True,100.0
ailbhean.co-shaoghal.net,mastodon,91,True,
aileen.booker.live,ghost,1,False,100.0
ainoruotanen.com,wordpress,1,False,99.79
ains-no-misskey.wkspcloud.com,misskey,3,False,98.95
aint.johnmark.org,mastodon,18,True,
aipi.social,mastodon,8561,False,
aipub.social,mastodon,259,True,99.87
air11.social,mastodon,1,False,97.32
aircrew.rocks,mastodon,74,True,99.94
airi.cafe,sharkey,6,True,100.0
airobot.pp.ua,mastodon,7,True,
airpollution.science,mastodon,92,True,99.84
aisa.sp.unipi.it,wordpress,1,True,97.81
aisler.social,mastodon,5,True,
aitorpazos.es,wordpress,1,True,99.87
aiyoku.xyz,mastodon,2,False,
ajax.collabfc.com,mastodon,4,True,
ajin.la,mastodon,1,False,
ajsadauskas.vivaldi.net,wordpress,1,False,99.97
ajtaci.club,mastodon,9,False,99.63
ak.angelstrapped.com,mastodon,5,False,
ak.auriga.dev,mastodon,4,True,
ak.berrythelede.com,akkoma,1,False,99.11
ak.cute.rest,akkoma,4,False,99.73
ak.destructive.link,mastodon,1,True,
ak.infernal.garden,akkoma,1,False,99.79
ak.kawen.space,akkoma,51,False,99.91
ak.kazuma.family,akkoma,2,False,99.84
ak.kumis.industries,mastodon,12,True,
ak.kyaruc.moe,akkoma,7,False,97.92
ak.lobotomy.diy,mastodon,2,False,
ak.myon.xyz,akkoma,1,True,99.89
ak.parcero.casa,mastodon,3,True,
ak.susul.xyz,mastodon,1,True,
ak.uwu.is,mastodon,1,False,
ak.vern.cc,mastodon,182,False,
ak.zweitekassabitte.jetzt,akkoma,10,True,99.62
ak1.monolith-rave.xyz,mastodon,1,False,
ak2.suzu-ya.info,mastodon,1,False,
aka-almond.lancianoblog.it,wordpress,1,False,98.89
akademienl.social,mastodon,591,True,99.9
akamdon.com,mastodon,1352,False,99.99
akanechan.love,mastodon,7,False,
akasa.red,mastodon,5,False,
akasaka.org,mastodon,4,False,
akce.cyberladies.cz,gancio,2,False,99.82
akce.nolog.cz,gancio,34,True,99.94
akhilesh.sutty.nl,suttydistributedpress,1,False,100.0
akiba.party,mastodon,70,True,99.97
akirin.hostdon.ne.jp,mastodon,1,False,99.89
akk.1d6.cc,mastodon,3,True,
akk.de-lacom.be,mastodon,1,False,
akk.fedcast.ch,akkoma,3,False,96.11
akk.porubu.com,akkoma,1,True,99.87
akk.skelly.boo,akkoma,1,False,99.97
akk.spacehost.dev,mastodon,1,False,
akkad.web-league.carolotta.me,mastodon,1,False,
akkida.social,mastodon,0,True,
akkm.moongazer.net,akkoma,3,False,99.25
akko.beeping.synth.download,mastodon,18,False,
akko.chir.rs,akkoma,15,True,98.42
akko.contref.eu,akkoma,2,False,99.9
akko.cuddlegirls.cafe,mastodon,7,False,
akko.drgn.gay,akkoma,3,False,99.9
akko.elysium.gay,mastodon,28,False,
akko.erincandescent.net,akkoma,3,False,99.97
akko.femboyfinancial.jp,mastodon,1,False,
akko.gaymeows.online,mastodon,5,False,
akko.innumerable-wounds.com,akkoma,3,False,100.0
akko.isabelroses.com,mastodon,3,False,
akko.lea.moe,mastodon,6,True,
akko.lightnovel-dungeon.de,mastodon,3,True,
akko.mornie.org,akkoma,1,False,99.56
akko.quad.moe,mastodon,1,False,
akko.shork.gay,akkoma,8,False,99.98
akko.staging.e2net.social,mastodon,2,True,
akko.uglyretardedfaggots.org,mastodon,4,False,
akko.unix.dog,mastodon,52,False,
akko.wtf,mastodon,126,False,
akkofe.cafe.xwyqi.org,mastodon,1,False,
akkoma.adamski2003.lol,akkoma,1,True,97.14
akkoma.alster.space,akkoma,2,False,100.0
akkoma.andho.xyz,akkoma,1,False,96.71
akkoma.ascyltos.social,mastodon,9,True,
akkoma.barkshark.xyz,mastodon,1,False,
akkoma.chez.chat,akkoma,3,False,98.25
akkoma.cormont.cyou,mastodon,1,False,
akkoma.dogphilosophy.net,akkoma,2,False,99.7
akkoma.fireturtle.net,mastodon,2,False,
akkoma.flicke.red,akkoma,1,False,98.89
akkoma.flyerdonut.net,mastodon,6,False,
akkoma.gespenstk.xyz,akkoma,1,False,100.0
akkoma.halhadus.rocks,akkoma,2,False,99.84
akkoma.haru3.me,akkoma,1,False,99.88
akkoma.jexams.me,akkoma,1,False,99.84
akkoma.jonoabroad.com,mastodon,1,False,
akkoma.junkyard.systems,mastodon,1,False,
akkoma.k1ba.eu,akkoma,2,False,99.92
akkoma.lukepetrolekas.com,akkoma,1,False,99.95
akkoma.marud.fr,mastodon,1,False,
akkoma.melikule.xyz,akkoma,2,True,99.95
akkoma.mellivora.social,mastodon,20,False,
akkoma.meows.gay,mastodon,7,False,
akkoma.miaowi.ng,mastodon,4,False,
akkoma.nahfe.dev,mastodon,1,False,
akkoma.newt.li,mastodon,2,False,
akkoma.noellabo.jp,mastodon,32,True,
akkoma.paranoiamachinery.com,mastodon,3,True,
akkoma.pikaböl.se,akkoma,3,False,99.84
akkoma.questingbeast.fyi,mastodon,12,True,
akkoma.riley-tech.net,mastodon,2,False,
akkoma.rilycat.f5.si,akkoma,1,False,98.28
akkoma.sador.me,akkoma,1,False,98.58
akkoma.scarlet.house,mastodon,1,False,
akkoma.shi4home.com,mastodon,2,True,
akkoma.sleepyhe.ad,mastodon,3,False,
akkoma.steadhaven.xyz,mastodon,2,False,
akkoma.t3mp-0x.cc,mastodon,2,False,
akkoma.thesandbox.net,akkoma,3,False,99.68
akkoma.tomkrizan.com,akkoma,6,False,99.38
akkoma.trwnh.com,akkoma,1,False,98.49
akkoma.xn--pikabl-0xa.se,mastodon,3,False,
akkoma.yokkin.com,mastodon,4,False,
